Date,Open,High,Low,Close,Adj Close,Volume
10/4/2021,16.290001,16.68,15.88,16.09,16.09,21849700
10/5/2021,16.145,16.76,16.08,16.25,16.25,13941200
10/6/2021,16,16.639999,15.92,16.620001,16.620001,11896400
10/7/2021,16.937,17.09,16.34,16.4,16.4,15267800
10/8/2021,16.527,16.65,16.17,16.209999,16.209999,11054400
10/11/2021,16.9,18.51,16.83,18.389999,18.389999,69669600
10/12/2021,18.17,19.02,17.84,18.969999,18.969999,47239700
10/13/2021,19,19.309999,18.49,18.92,18.92,31335900
10/14/2021,19.799999,19.809999,18.945,19.620001,19.620001,33917700
10/15/2021,19.559999,19.860001,19.32,19.379999,19.379999,22190300
10/18/2021,19.18,21,19.120001,20.85,20.85,48421800
10/19/2021,21.040001,21.08,20.184999,20.219999,20.219999,26292200
10/20/2021,20.365,21.190001,19.870001,21.049999,21.049999,25757100
10/21/2021,20.889999,21.775,20.764999,20.99,20.99,24771700
10/22/2021,20.860001,21.059999,20.200001,20.58,20.58,18994500
10/25/2021,20.620001,21.08,20.1,20.690001,20.690001,15053100
10/26/2021,20.945,20.969999,19.459999,19.959999,19.959999,26725500
10/27/2021,20,20.48,19.139999,19.25,19.25,17585700
10/28/2021,19.555,20.200001,19.48,19.91,19.91,15070700
10/29/2021,19.799999,20.16,19.690001,20.09,20.09,11538000
11/1/2021,20.530001,22.809999,20.280001,22.620001,22.620001,52780200
11/2/2021,22.67,22.93,21.6,22.68,22.68,35482300
11/3/2021,22.67,23.629999,22.440001,22.959999,22.959999,26468800
11/4/2021,23.18,23.549999,22.83,23.290001,23.290001,18496800
11/5/2021,22.889999,23.219,22.24,22.57,22.57,19635300
11/8/2021,22.629999,23.07,22.445,22.74,22.74,16884900
11/9/2021,23.139999,23.25,21.610001,22.139999,22.139999,24573000
11/10/2021,21.139999,21.85,19.85,20.42,20.42,46108800
11/11/2021,23.99,24.65,22.6,22.969999,22.969999,72680100
11/12/2021,23.17,23.6,22.17,22.76,22.76,29275500
11/15/2021,22.975,24.120001,22.75,22.92,22.92,30384300
11/16/2021,22.6,22.629999,21.42,21.67,21.67,41386800
11/17/2021,21.85,22.040001,21.025,21.120001,21.120001,18998300
11/18/2021,21.200001,21.32,20.200001,20.57,20.57,25447500
11/19/2021,20.110001,21.1,19.940001,20.370001,20.370001,25321200
11/22/2021,20.52,20.6,18.32,18.75,18.75,39766000
11/23/2021,18.534,18.655001,17.379999,17.809999,17.809999,31341700
11/24/2021,17.450001,18.58,17.351,18.33,18.33,28778600
11/26/2021,17.875,18.32,17.799999,18.209999,18.209999,13253100
11/29/2021,18.58,18.690001,17.870001,18.43,18.43,23366900
11/30/2021,18.25,18.540001,17.129999,17.200001,17.200001,67190100
12/1/2021,17.412001,17.91,16.23,16.389999,16.389999,34471500
12/2/2021,16.41,16.625,15.96,16.43,16.43,27033800
12/3/2021,16.43,16.440001,14.62,15.19,15.19,64350700
12/6/2021,15.06,15.84,14.5,15.72,15.72,34134800
12/7/2021,16.139999,16.719999,16.120001,16.620001,16.620001,30846600
12/8/2021,16.790001,17.165001,16.25,16.940001,16.940001,25262600
12/9/2021,16.66,16.91,15.55,15.66,15.66,32398900
12/10/2021,15.79,15.87,14.87,15.01,15.01,41344200
12/13/2021,14.89,15.25,14.02,14.58,14.58,40507500
12/14/2021,14.27,14.72,14.16,14.48,14.48,26707800
12/15/2021,14.44,15.28,14.03,15.16,15.16,33540400
